Symbol,Name
YESBANK,Yes Bank Limited
ABCAPITAL,Aditya Birla Capital Limited
ASHOKLEY,Ashok Leyland Limited
PERSISTENT,Persistent Systems Limited
OBEROIRLTY,Oberoi Realty Limited
LINDEINDIA,Linde India Limited
SUNA,Sun TV Network Limited
TORNTPOWER,Torrent Power Limited
IDBI,IDBI Bank Limited
INDHOTEL,The Indian Hotels Company Limited
POLICYBZR,PB Fintech Limited
AUBANK,AU Small Finance Bank Limited
BHARATFORG,Bharat Forge Limited
ESCORTS,Escorts Kubota Limited
MRF,MRF Limited
LTTS,L&T Technology Services Limited
GMRINFRA,GMR Airports Infrastructure Limited
VOLTAS,Voltas Limited
GUJGASLTD,Gujarat Gas Limited
SUPREMEIND,Supreme Industries Limited
CONCOR,Container Corporation of India Limited
ASTRAL,Astral Limited
BANDHANBNK,Bandhan Bank Limited
DALBHARAT,Dalmia Bharat Limited
PHOENIXLTD,The Phoenix Mills Limited
KPITTECH,KPIT Technologies Limited
SUZLON,Suzlon Energy Limited
LAURUSLABS,Laurus Labs Limited
MFSL,Max Financial Services Limited
PATANJALI,Patanjali Foods Limited
IPCALAB,IPCA Laboratories Limited
SYNGENE,Syngene International Limited
DIXON,Dixon Technologies (India) Limited
FEDERALBNK,The Federal Bank Limited
FACT,Fertilizers and Chemicals Travancore Limited
RVNL,Rail Vikas Nigam Limited
MAHABANK,Bank of Maharashtra
BALKRISIND,Balkrishna Industries Limited
MUTHOOTFIN,Muthoot Finance Limited
SAIL,Steel Authority of India Limited
UPL,UPL Limited
COFORGE,Coforge Limited
ABCAPITAL,Aditya Birla Capital Limited
PAGEIND,Page Industries Limited
GLENMARK,Glenmark Pharmaceuticals Limited
ZEEL,Zee Entertainment Enterprises Limited
JUBLFOOD,Jubilant FoodWorks Limited
POONAWALLA,Poonawalla Fincorp Limited
CRISIL,CRISIL Limited
KALYANKJIL,Kalyan Jewellers India Limited
HONAUT,Honeywell Automation India Limited
SCHAEFFLER,Schaeffler India Limited
FORTIS,Fortis Healthcare Limited
GMMPFAUDLR,GMM Pfaudler Limited
DEEPAKNTR,Deepak Nitrite Limited
AIAENG,AIA Engineering Limited
JKCEMENT,JK Cement Limited
KEI,KEI Industries Limited
LICHSGFIN,LIC Housing Finance Limited
NMDC,NMDC Limited
COROMANDEL,Coromandel International Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
SUMICHEM,Sumitomo Chemical India Limited
STARHEALTH,Star Health and Allied Insurance Company Limited
TATAELXSI,Tata Elxsi Limited
EXIDEIND,Exide Industries Limited
NATIONALUM,National Aluminium Company Limited
APLAPOLLO,APL Apollo Tubes Limited
WHIRLPOOL,Whirlpool of India Limited
RADICO,Radico Khaitan Limited
ENDURANCE,Endurance Technologies Limited
SUNDARMFIN,Sundaram Finance Limited
MEDANTA,Global Health Limited
ATUL,Atul Limited
SOLARINDS,Solar Industries India Limited
VINATIORGA,Vinati Organics Limited
INDIAMART,IndiaMART InterMESH Limited
NAVINFLUOR,Navin Fluorine International Limited
DEVYANI,Devyani International Limited
TRITURBINE,Triveni Turbine Limited
GICRE,General Insurance Corporation of India
BATAINDIA,Bata India Limited
3MINDIA,3M India Limited
KAJARIACER,Kajaria Ceramics Limited
THERMAX,Thermax Limited
TIMKEN,Timken India Limited
BLUEDART,Blue Dart Express Limited
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Limited
GSPL,Gujarat State Petronet Limited
RAMCOCEM,The Ramco Cements Limited
AJANTPHARM,Ajanta Pharma Limited
KPRMILL,K.P.R. Mill Limited
ISEC,ICICI Securities Limited
AARTIDRUGS,Aarti Drugs Limited
AARTIIND,Aarti Industries Limited
ABFRL,Aditya Birla Fashion and Retail Limited
ACC,ACC Limited
ADANITRANS,Adani Transmission Limited
EMAMILTD,Emami Limited
GILLETTE,Gillette India Limited
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
HATSUN,Hatsun Agro Product Limited
IGL,Indraprastha Gas Limited
KANSAINER,Kansai Nerolac Paints Limited
LALPATHLAB,Dr. Lal PathLabs Limited
MFSL,Max Financial Services Limited
NHPC,NHPC Limited
OIL,Oil India Limited
PFIZER,Pfizer Limited
PGHH,Procter & Gamble Hygiene and Health Care Limited
PRESTIGE,Prestige Estates Projects Limited
RAJESHEXPO,Rajesh Exports Limited
SANOFI,Sanofi India Limited
SUNTV,Sun TV Network Limited
SYMPHONY,Symphony Limited
TTKPRESTIG,TTK Prestige Limited
VGUARD,V-Guard Industries Limited
VIJAYA,Vijaya Diagnostic Centre Limited
WESTLIFE,Westlife Foodworld Limited
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
